id;first_name;intern_id;last_name;phone_number;dob;school;department
1;Athena;efficient;Wolff;transmit;National;copying back-end Corporate;STSL
2;Anita;bandwidth Car;Casper;invoice Factors;Helena;turn-key Fresh withdrawal;STSL
3;Meagan;Response generating;Douglas;RSS Generic;Toys Facilitator Accountability;Savings Decentralized;STSL
4;Arielle;Loan up drive;Kirlin;User-friendly;pixel Ohio;Incredible Wooden Organized;RPSL
5;Casey;Checking Small Universal;Waters;Reduced Berkshire sensor;Berkshire Dynamic payment;Account open-source;SYSTEMSPECS
6;Mathias;foreground;Gaylord;deposit;seamless supply-chains Account;Orchestrator National;RPSL
7;Emily;pink;Kiehn;Global Re-engineered purple;Bedfordshire Loan;Operations International;SYSTEMSPECS
8;Zaria;HDD;Bode;Soft Parkways Rapids;Dollar AGP Home;compressing Israeli Games;RPSL
9;Gabe;synthesize Hat;Luettgen;back-end;compressing calculate calculating;Metrics;STSL
10;Ludwig;Kids Berkshire Fresh;Osinski;AGP New;standardization open-source quantify;Iowa;SYSTEMSPECS
